episode 259	loss 9.996593	 episode reward -21.0	 number of down act 0.5598687807545106	 game_len 1829	
episode 260	loss 8.915916	 episode reward -20.0	 number of down act 0.587819947043248	 game_len 1133	
episode 261	loss 3.0319626	 episode reward -21.0	 number of down act 0.5611390284757118	 game_len 1194	
episode 262	loss 16.274042	 episode reward -21.0	 number of down act 0.5386313465783664	 game_len 1359	
episode 263	loss 9.089628	 episode reward -21.0	 number of down act 0.5823327615780446	 game_len 1166	
episode 264	loss -3.2185934	 episode reward -20.0	 number of down act 0.5565500406834825	 game_len 1229	
episode 265	loss 4.6805415	 episode reward -21.0	 number of down act 0.5269784172661871	 game_len 1112	
episode 266	loss 8.569433	 episode reward -19.0	 number of down act 0.5426195426195426	 game_len 1443	
episode 267	loss 7.244422	 episode reward -21.0	 number of down act 0.5359417652411284	 game_len 1099	
episode 268	loss 12.240783	 episode reward -21.0	 number of down act 0.5351617440225035	 game_len 1422	
episode 269	loss 9.55428	 episode reward -21.0	 number of down act 0.5268656716417911	 game_len 1340	
episode 270	loss 7.4604053	 episode reward -21.0	 number of down act 0.5379125780553078	 game_len 1121	
episode 271	loss 10.170209	 episode reward -20.0	 number of down act 0.5277269957343084	 game_len 1641	
episode 272	loss 13.318542	 episode reward -21.0	 number of down act 0.5330882352941176	 game_len 1088	
episode 273	loss 16.784595	 episode reward -21.0	 number of down act 0.5632965165675446	 game_len 1177	
episode 274	loss 16.270058	 episode reward -21.0	 number of down act 0.5913682277318641	 game_len 1089	
episode 275	loss 7.5916233	 episode reward -21.0	 number of down act 0.6014625228519196	 game_len 1094	
episode 276	loss 3.9355204	 episode reward -21.0	 number of down act 0.6272	 game_len 1250	
episode 277	loss 8.091054	 episode reward -21.0	 number of down act 0.5830324909747292	 game_len 1108	
episode 278	loss 16.899555	 episode reward -20.0	 number of down act 0.5977927651747394	 game_len 1631	
episode 279	loss 18.120548	 episode reward -21.0	 number of down act 0.6160337552742616	 game_len 1185	
episode 280	loss 9.746283	 episode reward -21.0	 number of down act 0.6229629629629629	 game_len 1350	
episode 281	loss 2.9734743	 episode reward -21.0	 number of down act 0.639344262295082	 game_len 1098	
episode 282	loss 1.0404843	 episode reward -21.0	 number of down act 0.6183206106870229	 game_len 1441	
episode 283	loss 9.641003	 episode reward -21.0	 number of down act 0.5919282511210763	 game_len 1115	
episode 284	loss 3.596698	 episode reward -21.0	 number of down act 0.6271493212669683	 game_len 1105	
episode 285	loss 0.48249173	 episode reward -21.0	 number of down act 0.6106312292358804	 game_len 1505	
episode 286	loss 0.77347034	 episode reward -21.0	 number of down act 0.5819004524886878	 game_len 1105	
episode 287	loss 14.557888	 episode reward -21.0	 number of down act 0.5769554247266611	 game_len 1189	
episode 288	loss -0.7105814	 episode reward -21.0	 number of down act 0.5977393617021277	 game_len 1504	
episode 289	loss 7.7550306	 episode reward -21.0	 number of down act 0.5663157894736842	 game_len 1425	
episode 290	loss 14.766939	 episode reward -21.0	 number of down act 0.5813397129186603	 game_len 1254	
